Month,All items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
Jan-09,0.00%,5.30%,5.70%,4.90%,-20.40%,-40.40%,8.70%,3.20%,1.70%,-0.50%,-0.90%,-2.60%,1.60%,2.50%,1.80%,3.00%,3.60%
Feb-09,0.20%,4.80%,4.80%,4.80%,-18.50%,-35.60%,9.20%,-3.30%,1.80%,0.00%,0.80%,-1.50%,2.00%,2.50%,1.70%,3.10%,3.60%
Mar-09,-0.40%,4.40%,4.30%,4.60%,-23.00%,-39.30%,8.20%,-11.40%,1.80%,0.40%,1.40%,-0.80%,1.90%,2.30%,1.50%,3.10%,3.60%
Apr-09,-0.70%,3.30%,2.30%,4.60%,-25.20%,-39.50%,6.30%,-21.00%,1.90%,0.90%,0.90%,-0.20%,2.40%,2.30%,1.60%,3.30%,3.40%
May-09,-1.30%,2.70%,1.50%,4.20%,-27.30%,-39.40%,4.80%,-29.40%,1.80%,1.20%,0.80%,0.40%,3.30%,2.10%,1.50%,3.20%,3.40%
Jun-09,-1.40%,2.10%,0.80%,3.80%,-25.50%,-34.60%,2.80%,-32.20%,1.70%,1.50%,1.50%,0.90%,3.20%,1.80%,1.30%,3.10%,3.00%
Jul-09,-2.10%,0.90%,-0.90%,3.20%,-28.10%,-37.30%,0.10%,-36.20%,1.50%,1.40%,1.10%,1.20%,3.20%,1.60%,0.90%,3.20%,2.80%
Aug-09,-1.50%,0.40%,-1.60%,3.00%,-23.00%,-30.00%,-1.20%,-32.70%,1.40%,1.10%,0.60%,0.50%,3.70%,1.60%,0.90%,3.20%,2.80%
Sep-09,-1.30%,-0.20%,-2.50%,2.60%,-21.60%,-29.70%,-0.10%,-28.00%,1.50%,1.60%,1.10%,1.60%,4.10%,1.50%,0.70%,3.30%,2.80%
Oct-09,-0.20%,-0.60%,-2.80%,2.20%,-14.00%,-17.90%,-0.60%,-24.00%,1.70%,2.30%,1.40%,3.80%,4.30%,1.50%,0.70%,3.20%,2.70%
Nov-09,1.80%,-0.70%,-2.90%,2.10%,7.40%,23.60%,0.10%,-18.60%,1.70%,2.60%,1.00%,4.90%,3.80%,1.40%,0.30%,3.50%,2.50%
Dec-09,2.70%,-0.50%,-2.40%,1.90%,18.20%,53.50%,-0.50%,-18.10%,1.80%,3.00%,1.90%,4.90%,3.30%,1.40%,0.30%,3.40%,2.40%
Jan-10,2.60%,-0.40%,-2.00%,1.60%,19.10%,51.30%,-1.90%,-12.20%,1.60%,2.90%,1.70%,4.10%,3.50%,1.00%,-0.10%,3.50%,2.30%
Feb-10,2.10%,-0.20%,-1.50%,1.40%,14.40%,36.80%,-2.70%,-8.40%,1.30%,2.50%,0.00%,3.50%,3.50%,0.90%,-0.40%,3.70%,2.30%
Mar-10,2.30%,0.20%,-0.70%,1.20%,18.30%,41.40%,-0.50%,-5.50%,1.10%,1.90%,-0.40%,3.00%,3.70%,0.80%,-0.60%,3.80%,2.40%
Apr-10,2.20%,0.50%,0.00%,1.10%,18.50%,38.30%,0.60%,-2.90%,0.90%,1.20%,-0.90%,2.50%,3.50%,0.80%,-0.70%,3.70%,2.40%
May-10,2.00%,0.70%,0.30%,1.10%,14.70%,27.00%,0.70%,2.30%,0.90%,1.10%,-0.60%,1.90%,3.40%,0.90%,-0.70%,3.40%,2.20%
Jun-10,1.10%,0.70%,0.20%,1.20%,3.00%,3.90%,0.40%,1.90%,0.90%,1.00%,-0.40%,1.30%,3.30%,0.90%,-0.70%,3.50%,2.20%
Jul-10,1.20%,0.90%,0.70%,1.10%,5.20%,7.40%,1.30%,3.10%,0.90%,1.00%,-0.30%,0.90%,3.20%,0.80%,-0.70%,3.20%,2.10%
Aug-10,1.10%,1.00%,0.80%,1.20%,3.80%,4.40%,1.60%,3.80%,0.90%,1.30%,-0.40%,2.30%,3.00%,0.70%,-0.70%,3.20%,1.90%
Sep-10,1.10%,1.40%,1.40%,1.40%,3.80%,5.10%,1.10%,3.00%,0.80%,0.80%,-1.20%,2.10%,2.60%,0.80%,-0.40%,3.70%,1.60%
Oct-10,1.20%,1.40%,1.40%,1.40%,5.90%,9.50%,0.60%,1.90%,0.60%,0.10%,-1.20%,0.40%,2.50%,0.80%,-0.30%,3.60%,1.40%
Nov-10,1.10%,1.50%,1.70%,1.30%,3.90%,7.30%,0.30%,-4.80%,0.80%,-0.20%,-0.80%,-0.40%,2.70%,1.10%,0.20%,3.40%,1.60%
Dec-10,1.50%,1.50%,1.70%,1.30%,7.70%,13.80%,0.70%,-2.80%,0.80%,-0.40%,-1.10%,-0.20%,2.90%,1.30%,0.40%,3.40%,1.30%
